instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
ADBE,long,3.0,1663261260000,1663261500000,240000,313.8,314.13,0.99,0.41696012340000005,0.5730398765999999,f-0000,f-0001,,,,
ADBE,long,3.0,1663263060000,1663263300000,240000,312.74,312.11,-1.89,0.4149148398000001,-2.3049148398,f-0002,f-0003,,,,
LITE,long,22.0,1665759660000,1665759840000,180000,67.295,67.315,0.44,0.6588531158,-0.2188531158000001,f-0004,f-0005,,,,
NOW,long,22.0,1666792860000,1666793160000,300000,73.94,73.85,-1.98,0.722940482,-2.7029404820000003,f-0006,f-0007,,,,
NOW,long,20.0,1666965660000,1666965960000,300000,82.47,81.91,-11.2,0.7305466920000002,-11.930546692,f-0008,f-0009,,,,
NOW,long,21.0,1667412060000,1667412360000,300000,82.04,82.22,3.78,0.7665330372000001,3.0134669628,f-0010,f-0011,,,,
LITE,long,23.0,1667415660000,1667415840000,180000,73.84,73.83,-0.23,0.7551932654000002,-0.9851932654000002,f-0012,f-0013,,,,
NOW,long,25.0,1667575860000,1667576160000,300000,71.97,72.06,2.25,0.80075109,1.44924891,f-0014,f-0015,,,,
LITE,long,30.0,1667934060000,1667934240000,180000,59.87,59.67,-6.0,0.7985016060000002,-6.798501606,f-0016,f-0017,,,,
LITE,long,32.0,1668006060000,1668006240000,180000,57.83,57.99,5.12,0.8254355008000003,4.2945644992,f-0018,f-0019,,,,
LITE,long,33.0,1668015060000,1668015240000,180000,56.48,56.3,-5.94,0.829045074,-6.769045074,f-0020,f-0021,,,,
LITE,long,32.0,1668092460000,1668092640000,180000,57.935,57.965,0.96,0.8259970528000001,0.13400294719999983,f-0022,f-0023,,,,
LITE,long,34.0,1668178860000,1668179040000,180000,55.505,55.63,4.25,0.8418161252000002,3.4081838747999997,f-0024,f-0025,,,,
MSTR,long,109.0,1668180660000,1668181020000,360000,17.4,17.19,-22.89,0.8545830426000001,-23.7445830426,f-0026,f-0027,,,,
MSTR,long,106.0,1668189660000,1668190020000,360000,17.7,17.64,-6.36,0.8486506704000001,-7.2086506704,f-0028,f-0029,,,,
MSTR,long,103.0,1668193260000,1668193620000,360000,17.5,17.14,-37.08,0.8086641652000002,-37.8886641652,f-0030,f-0031,,,,
MSTR,long,106.0,1668438060000,1668438420000,360000,17.44,17.66,23.32,0.8430582376000002,22.4769417624,f-0032,f-0033,,,,
MSTR,long,110.0,1668454260000,1668454740000,480000,16.9,16.97,7.7,0.844949402,6.855050598,f-0034,f-0035,,,,
MSTR,long,108.0,1668524460000,1668524820000,360000,17.45,17.53,8.64,0.8560848744000001,7.7839151256,f-0036,f-0037,,,,
MSTR,long,110.0,1668528060000,1668528480000,420000,17.28,17.33,5.5,0.8629389780000001,4.637061022,f-0038,f-0039,,,,
MSTR,long,110.0,1668529860000,1668530460000,600000,17.34,17.34,0.0,0.8646352440000001,-0.8646352440000001,f-0040,f-0041,,,,
MSTR,long,113.0,1668537060000,1668537420000,360000,16.82,16.63,-21.47,0.8574731314000001,-22.3274731314,f-0042,f-0043,,,,
MSTR,long,111.0,1668709860000,1668710340000,480000,17.29,17.43,15.54,0.8734929438000001,14.6665070562,f-0044,f-0045,,,,
MSTR,long,117.0,1668789060000,1668789420000,360000,16.66,16.56,-11.7,0.8818890912,-12.5818890912,f-0046,f-0047,,,,
MSTR,long,120.0,1669042860000,1669043220000,360000,16.32,16.15,-20.4,0.88460028,-21.28460028,f-0048,f-0049,,,,
MSTR,long,122.0,1669044660000,1669045020000,360000,15.96,15.99,3.66,0.8853466068000002,2.7746533932,f-0050,f-0051,,,,
MSTR,long,124.0,1669057260000,1669057860000,600000,15.71,15.71,0.0,0.8853305624000002,-0.8853305624000002,f-0052,f-0053,,,,
MSTR,long,119.0,1669134660000,1669135080000,420000,16.48,16.48,0.0,0.8901377072000001,-0.8901377072000001,f-0054,f-0055,,,,
MSTR,long,113.0,1669390260000,1669390800000,540000,17.77,17.69,-9.04,0.9076884782000002,-9.9476884782,f-0056,f-0057,,,,
MSTR,long,113.0,1669734060000,1669734420000,360000,17.99,18.0,1.13,0.9209364400000001,0.2090635599999999,f-0058,f-0059,,,,
MSTR,long,112.0,1669833060000,1669833420000,360000,18.4,18.5,11.2,0.9353243200000002,10.26467568,f-0060,f-0061,,,,
MSTR,long,107.0,1669993260000,1669993620000,360000,19.73,19.77,4.28,0.9550527034000001,3.3249472966,f-0062,f-0063,,,,
MSTR,long,103.0,1670002260000,1670002800000,540000,20.38,20.33,-5.15,0.9468872194000001,-6.0968872194,f-0064,f-0065,,,,
MSTR,long,111.0,1670949060000,1670950140000,1080000,20.18,19.89,-32.19,1.0047024474000001,-33.1947024474,f-0066,f-0067,,,,
MSTR,long,121.0,1671116460000,1671116820000,360000,18.63,18.83,24.2,1.0254737658000002,23.1745262342,f-0068,f-0069,,,,
MSTR,long,119.0,1671123780000,1671124440000,660000,19.02,19.11,10.71,1.0261330254,9.683866974599999,f-0070,f-0071,,,,
MSTR,long,119.0,1671134460000,1671135060000,600000,19.08,19.04,-4.76,1.0258540656000001,-5.7858540656,f-0072,f-0073,,,,
MSTR,long,128.0,1671208260000,1671208680000,420000,17.88,17.88,0.0,1.0366761984000001,-1.0366761984000001,f-0074,f-0075,,,,
MSTR,long,130.0,1671222720000,1671223260000,540000,17.57,17.51,-7.8,1.0333271780000004,-8.833327178000001,f-0076,f-0077,,,,
MSTR,long,145.0,1671735720000,1671736320000,600000,16.27,16.33,8.7,1.073092771,7.626907229,f-0078,f-0079,,,,
MSTR,long,147.0,1671807660000,1671808020000,360000,16.14,16.19,7.35,1.0791198558000004,6.2708801441999995,f-0080,f-0081,,,,
MSTR,long,148.0,1671811260000,1671811740000,480000,16.22,16.34,17.76,1.0939953392,16.6660046608,f-0082,f-0083,,,,
MSTR,long,158.0,1672156860000,1672157220000,360000,15.43,15.34,-14.22,1.1053680632,-15.325368063200001,f-0084,f-0085,,,,
MSTR,long,92.0,1672160460000,1672160820000,360000,15.22,15.28,5.52,0.6381558656,4.8818441344,f-0086,f-0087,,,,
